"education_summary_put_code","education_summary_department_name","education_summary_role_title","education_summary_url","education_summary_external_ids","education_summary_display_index","education_summary_visibility","education_summary_path","education_summary_created_date_value","education_summary_last_modified_date_value","education_summary_source_source_client_id","education_summary_source_assertion_origin_orcid","education_summary_source_assertion_origin_client_id","education_summary_source_assertion_origin_name","education_summary_source_source_orcid_uri","education_summary_source_source_orcid_path","education_summary_source_source_orcid_host","education_summary_source_source_name_value","education_summary_start_date_day","education_summary_start_date_year_value","education_summary_start_date_month_value","education_summary_end_date_day","education_summary_end_date_year_value","education_summary_end_date_month_value","education_summary_organization_name","education_summary_organization_address_city","education_summary_organization_address_region","education_summary_organization_address_country","education_summary_organization_disambiguated_organization_disambiguated_organization_identifier","education_summary_organization_disambiguated_organization_disambiguation_source","education_summary_organization_disambiguated_organization","education_summary_start_date_day_value","education_summary_end_date_day_value","education_summary_start_date_month","education_summary_end_date_month","education_summary_start_date","education_summary_end_date","education_summary_url_value","ORCID"
938054,"Psychology","Dr.",NA,NA,"0","public","/0000-0003-1629-3699/education/938054",2015-05-28,2015-05-28,NA,NA,NA,NA,"https://orcid.org/0000-0003-1629-3699","0000-0003-1629-3699","orcid.org","Ljiljana Lazarevic",NA,NA,NA,NA,NA,NA,"Faculty of philosophy","Belgrade",NA,"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0003-1629-3699"
6486180,"Psicobiología","Animal Behavior, PhD. ",NA,NA,"1","public","/0000-0002-8267-9816/education/6486180",2018-09-25,2018-09-25,NA,NA,NA,NA,"https://orcid.org/0000-0002-8267-9816","0000-0002-8267-9816","orcid.org","Sara Álvarez Solas",NA,"2008","09",NA,"2014","06","Universidad Complutense de Madrid - Campus de Somosaguas","Pozuelo de Alarcon","Comunidad de Madrid","ES","73074","RINGGOLD",NA,"01","01",NA,NA,NA,NA,NA,"0000-0002-8267-9816"
6486172,NA,"Biology",NA,NA,"1","public","/0000-0002-8267-9816/education/6486172",2018-09-25,2018-09-25,NA,NA,NA,NA,"https://orcid.org/0000-0002-8267-9816","0000-0002-8267-9816","orcid.org","Sara Álvarez Solas",NA,"2003","09",NA,"2008","09","Universidad Complutense de Madrid","Madrid","Comunidad de Madrid","ES","16734","RINGGOLD",NA,"01","01",NA,NA,NA,NA,NA,"0000-0002-8267-9816"
2177704,"Psychology","PhD",NA,NA,"1","public","/0000-0001-7295-8021/education/2177704",2016-08-26,2018-10-03,NA,NA,NA,NA,"https://orcid.org/0000-0001-7295-8021","0000-0001-7295-8021","orcid.org","Rachel A. Searston",NA,"2014","04",NA,"2016","06","The University of Queensland","Brisbane","QLD","AU","1974","RINGGOLD",NA,"10","03",NA,NA,NA,NA,NA,"0000-0001-7295-8021"
1577339,"Psychology","PhD",NA,NA,"0","public","/0000-0003-0443-3412/education/1577339",2016-02-18,2016-02-18,NA,NA,NA,NA,"https://orcid.org/0000-0003-0443-3412","0000-0003-0443-3412","orcid.org","Clare AM Sutherland",NA,"2011","10",NA,"2015","06","University of York","York","North Yorkshire","GB","8748","RINGGOLD",NA,"01","17",NA,NA,NA,NA,NA,"0000-0003-0443-3412"
1487734,"Department of Psychology","MRes (Distinction)",NA,NA,"0","public","/0000-0003-0443-3412/education/1487734",2016-01-20,2017-12-13,NA,NA,NA,NA,"https://orcid.org/0000-0003-0443-3412","0000-0003-0443-3412","orcid.org","Clare AM Sutherland",NA,"2010","01",NA,"2011","01","University of York","York","York","GB","8748","RINGGOLD",NA,"10","07",NA,NA,NA,NA,NA,"0000-0003-0443-3412"
1487728,"Department of Psychology","BSc Psychology (1st class Hons)",NA,NA,"0","public","/0000-0003-0443-3412/education/1487728",2016-01-20,2017-12-13,NA,NA,NA,NA,"https://orcid.org/0000-0003-0443-3412","0000-0003-0443-3412","orcid.org","Clare AM Sutherland",NA,"2006","10",NA,"2010","06","University of Glasgow","Glasgow","Glasgow","GB","3526","RINGGOLD",NA,"01","07",NA,NA,NA,NA,NA,"0000-0003-0443-3412"
4394385,NA,"PH.D",NA,NA,"0","public","/0000-0002-3527-1500/education/4394385",2017-08-02,2017-08-02,NA,NA,NA,NA,"https://orcid.org/0000-0002-3527-1500","0000-0002-3527-1500","orcid.org","ANABEL DE LA ROSA GOMEZ",NA,"2008","08",NA,"2012","06","Universidad Nacional Autonoma de Mexico Facultad de Psicologia","Mexico DF","Coyoacán","MX","173093","RINGGOLD",NA,"07","30",NA,NA,NA,NA,NA,"0000-0002-3527-1500"
4394390,NA,"B.A.",NA,NA,"0","public","/0000-0002-3527-1500/education/4394390",2017-08-02,2017-08-02,NA,NA,NA,NA,"https://orcid.org/0000-0002-3527-1500","0000-0002-3527-1500","orcid.org","ANABEL DE LA ROSA GOMEZ",NA,"2002","10",NA,"2006","12","Universidad Nacional Autonoma de Mexico Facultad de Psicologia","Mexico DF","Coyoacán","MX","173093","RINGGOLD",NA,"22","12",NA,NA,NA,NA,NA,"0000-0002-3527-1500"
9054293,"Escuela Técnica Superior de Ingeniería de Telecomunicación","MSc Telecommunications Engineering",NA,NA,"1","public","/0000-0001-5872-8924/education/9054293",2019-11-05,2019-11-05,NA,NA,NA,NA,"https://orcid.org/0000-0001-5872-8924","0000-0001-5872-8924","orcid.org","Guiomar Niso",NA,NA,NA,NA,NA,NA,"Universidad Politécnica de Madrid (UPM)","Madrid","Madrid","ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0001-5872-8924"
