"employment_summary_put_code","employment_summary_department_name","employment_summary_role_title","employment_summary_end_date","employment_summary_url","employment_summary_external_ids","employment_summary_display_index","employment_summary_visibility","employment_summary_path","employment_summary_created_date_value","employment_summary_last_modified_date_value","employment_summary_source_source_client_id","employment_summary_source_assertion_origin_orcid","employment_summary_source_assertion_origin_client_id","employment_summary_source_assertion_origin_name","employment_summary_source_source_orcid_uri","employment_summary_source_source_orcid_path","employment_summary_source_source_orcid_host","employment_summary_source_source_name_value","employment_summary_start_date_year_value","employment_summary_start_date_month_value","employment_summary_start_date_day_value","employment_summary_organization_name","employment_summary_organization_address_city","employment_summary_organization_address_region","employment_summary_organization_address_country","employment_summary_organization_disambiguated_organization_disambiguated_organization_identifier","employment_summary_organization_disambiguated_organization_disambiguation_source","employment_summary_start_date","employment_summary_source_source_orcid","employment_summary_source_source_client_id_uri","employment_summary_source_source_client_id_path","employment_summary_source_source_client_id_host","employment_summary_end_date_year_value","employment_summary_end_date_month_value","employment_summary_end_date_day_value","employment_summary_start_date_day","employment_summary_end_date_day","employment_summary_organization_disambiguated_organization","employment_summary_url_value","employment_summary_start_date_month","employment_summary_end_date_month","ORCID"
1469510,"school of the psychology  ",NA,NA,NA,NA,"0","public","/0000-0002-7981-1177/employment/1469510",2016-01-13,2016-01-13,NA,NA,NA,NA,"https://orcid.org/0000-0002-7981-1177","0000-0002-7981-1177","orcid.org","Elkin Luis Garcia","2015","08",NA,"Universidad de Navarra","Pamplona","Navarra","ES","16754","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-7981-1177"
15629663,"DIPARTIMENTO DI PSICOLOGIA","Assegnisti",NA,NA,NA,"0","public","/0000-0003-0402-4969/employment/15629663",2021-08-25,2021-12-14,NA,NA,NA,NA,NA,NA,NA,"Sapienza Università di Roma - IRIS","2020","12","01","Universita` degli Studi di ROMA ""La Sapienza""","Roma","Lazio","IT",NA,NA,NA,NA,"https://orcid.org/client/APP-ZOHYRM4L1ZOCN5RS","APP-ZOHYRM4L1ZOCN5RS","orcid.org","2022","11","29",NA,NA,NA,NA,NA,NA,"0000-0003-0402-4969"
15629662,"DIPARTIMENTO DI PSICOLOGIA","Borsisti",NA,NA,NA,"0","public","/0000-0003-0402-4969/employment/15629662",2021-08-25,2021-08-25,NA,NA,NA,NA,NA,NA,NA,"Sapienza Università di Roma - IRIS","2020","02","01","Universita` degli Studi di ROMA ""La Sapienza""","Roma","Lazio","IT",NA,NA,NA,NA,"https://orcid.org/client/APP-ZOHYRM4L1ZOCN5RS","APP-ZOHYRM4L1ZOCN5RS","orcid.org","2020","07","30",NA,NA,NA,NA,NA,NA,"0000-0003-0402-4969"
938057,"Psychology","Research Associate",NA,NA,NA,"1","public","/0000-0003-1629-3699/employment/938057",2015-05-28,2019-10-20,NA,NA,NA,NA,"https://orcid.org/0000-0003-1629-3699","0000-0003-1629-3699","orcid.org","Ljiljana Lazarevic","2010","08","01","Institute of psychology and Laboratory for research of Individual differences, Faculty of Philosophy","Belgrade",NA,"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0003-1629-3699"
6487479,NA,"Proffessor, researcher, Director of the Ing. Ecosystem, assessor of a scientific journal.",NA,NA,NA,"1","public","/0000-0002-8267-9816/employment/6487479",2018-09-25,2019-12-10,NA,NA,NA,NA,"https://orcid.org/0000-0002-8267-9816","0000-0002-8267-9816","orcid.org","Sara Álvarez Solas","2014","09","22","Universidad Regional Amazónica IKIAM","Tena",NA,"EC","438347","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://ikiam.edu.ec/admisiones-carreras/ingenier%C3%ADa-en-ecosistemas",NA,NA,"0000-0002-8267-9816"
6487472,NA,"Temporal proffesor and tutor of several students in their masther thesis",NA,NA,NA,"1","public","/0000-0002-8267-9816/employment/6487472",2018-09-25,2018-09-25,NA,NA,NA,NA,"https://orcid.org/0000-0002-8267-9816","0000-0002-8267-9816","orcid.org","Sara Álvarez Solas","2014","04","01","Universitat de Girona","Girona","Catalunya","ES","16738","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-8267-9816"
6487448,NA,"Researcher",NA,NA,NA,"1","public","/0000-0002-8267-9816/employment/6487448",2018-09-25,2018-09-25,NA,NA,NA,NA,"https://orcid.org/0000-0002-8267-9816","0000-0002-8267-9816","orcid.org","Sara Álvarez Solas","2010","01","01","Universidad Complutense de Madrid","Madrid","Comunidad de Madrid","ES","16734","RINGGOLD",NA,NA,NA,NA,NA,"2014","09","15",NA,NA,NA,NA,NA,NA,"0000-0002-8267-9816"
6487453,NA,"Proffessor",NA,NA,NA,"1","public","/0000-0002-8267-9816/employment/6487453",2018-09-25,2019-12-10,NA,NA,NA,NA,"https://orcid.org/0000-0002-8267-9816","0000-0002-8267-9816","orcid.org","Sara Álvarez Solas","2013","12","02","Universidad Internacional De La Rioja","Logroño",NA,"ES","grid.13825.3d","GRID",NA,NA,NA,NA,NA,"2014","07","31",NA,NA,NA,NA,NA,NA,"0000-0002-8267-9816"
6487446,NA,"Researcher",NA,NA,NA,"1","public","/0000-0002-8267-9816/employment/6487446",2018-09-25,2018-09-25,NA,NA,NA,NA,"https://orcid.org/0000-0002-8267-9816","0000-0002-8267-9816","orcid.org","Sara Álvarez Solas","2010","07","12","Fundación Proyecto Primates","Yasuni","Pichincha","EC",NA,NA,NA,NA,NA,NA,NA,"2013","03","10",NA,NA,NA,NA,NA,NA,"0000-0002-8267-9816"
6487434,NA,"Educator",NA,NA,NA,"1","public","/0000-0002-8267-9816/employment/6487434",2018-09-25,2018-09-25,NA,NA,NA,NA,"https://orcid.org/0000-0002-8267-9816","0000-0002-8267-9816","orcid.org","Sara Álvarez Solas","2010","01","13","INATUR (Centro de Educación Ambiental El Campillo)","Madrid",NA,"ES",NA,NA,NA,NA,NA,NA,NA,"2010","07","31",NA,NA,NA,NA,NA,NA,"0000-0002-8267-9816"
